seed,family,job,arm,backend,mode,descriptor_index,chunk_ids,tokens,ready_skew_us,issue_skew_us,gpu_start_skew_us,ready_to_issue_us,issue_to_gpu_start_us,ready_to_gpu_start_us,gpu_comm_envelope_us,gpu_kernel_duration_us,router_overlap_us,router_overlap,rank_issues_before_final_router
13042,all_to_one_like,1,NCCL-D,nccl,D,3,3,512,1526.09,127.76,310.224,204316.354,158.168,204474.522,313.368,63.828,0.0,False,0
13042,all_to_one_like,1,NCCL-D,nccl,D,4,4,512,1528.744,129.055,319.486,234291.5015,155.9845,234447.486,322.492,63.728,0.0,False,0
13042,all_to_one_like,1,NCCL-D,nccl,D,5,5,512,1573.899,122.025,310.774,261818.82400000002,156.6575,261975.4815,383.04,99.411,0.0,False,0
13042,all_to_one_like,1,NCCL-D,nccl,D,6,6+7,1024,1550.302,105.258,611.432,292019.663,332.648,292352.311,614.454,70.252,0.0,False,0
13042,all_to_one_like,1,NCCL-P,nccl,P,0,0,512,1109.994,1048.021,1057.588,16474.5835,219.7865,16694.370000000003,1060.436,25.584,0.0,False,0
13042,all_to_one_like,1,NCCL-P,nccl,P,1,1,512,1091.442,11933.11,12092.33,50586.604,147.75,50734.354,12095.34,72.832,0.0,False,0
13042,all_to_one_like,1,NCCL-P,nccl,P,2,2,512,1098.667,11965.759,12104.332,92130.74799999999,156.9195,92287.66750000001,12107.338,72.479,0.0,False,0
13042,all_to_one_like,1,NCCL-P,nccl,P,3,3,512,1088.395,11929.208,12084.038,133767.28949999998,154.055,133921.3445,12087.12,75.127,0.0,False,0
13042,all_to_one_like,1,NCCL-P,nccl,P,4,4,512,1097.768,11938.258,12105.384,175391.269,151.45100000000002,175542.72,12108.39,69.87,0.0,False,0
13042,all_to_one_like,1,NCCL-P,nccl,P,5,5,512,1082.115,11932.718,12089.882,216442.0145,154.489,216596.5035,12092.858,71.236,0.0,False,0
13042,all_to_one_like,1,NCCL-P,nccl,P,6,6+7,1024,1092.151,24093.836,24595.208,267082.6905,318.617,267401.3075,24598.228,73.135,0.0,False,0
13042,all_to_one_like,1,MSCCLPP-D,mscclpp,D,0,0,512,643.018,159.904,1.369,125082.185,1045.1165,126127.3015,3204.978,1612.5545,0.0,False,0
13042,all_to_one_like,1,MSCCLPP-D,mscclpp,D,1,1,512,610.85,9.439,2076.525,124163.2335,1931.4099999999999,126094.6435,4742.009,1395.203,0.0,False,0
13042,all_to_one_like,1,MSCCLPP-D,mscclpp,D,2,2,512,617.396,2088.046,3678.073,126474.19200000001,1650.8735000000001,128125.0655,5846.901,1118.211,0.0,False,0
13042,all_to_one_like,1,MSCCLPP-D,mscclpp,D,3,3,512,621.433,3685.323,4792.166,128508.636,1411.8475,129920.4835,7882.603,1582.5935,0.0,False,0
13042,all_to_one_like,1,MSCCLPP-D,mscclpp,D,4,4,512,599.223,4825.145,6826.869,130323.217,1833.6889999999999,132156.906,10185.588,1727.4925,0.0,False,0
13042,all_to_one_like,1,MSCCLPP-D,mscclpp,D,5,5,512,598.173,6822.993,9059.181,132056.657,2032.972,134089.62900000002,11981.681,1491.9685,0.0,False,0
13042,all_to_one_like,1,MSCCLPP-D,mscclpp,D,6,6+7,1024,602.196,9069.898,9980.775,134540.665,1853.6924999999999,136394.35749999998,15894.384,3003.9060000000004,0.0,False,0
13042,all_to_one_like,1,MSCCLPP-P,mscclpp,P,0,0,512,390.396,268.356,329.758,16667.519,969.081,17636.6,2868.321,1488.9455,0.0,False,0
13042,all_to_one_like,1,MSCCLPP-P,mscclpp,P,1,1,512,323.532,421.229,553.922,31027.1225,935.4475,31962.57,3651.594,1854.9805000000001,0.0,False,0
13042,all_to_one_like,1,MSCCLPP-P,mscclpp,P,2,2,512,311.45,588.75,709.562,47641.222,912.421,48553.643,3122.18,1602.0549999999998,0.0,False,0
13042,all_to_one_like,1,MSCCLPP-P,mscclpp,P,3,3,512,300.787,738.574,834.499,64394.451499999996,895.3175,65289.769,2506.765,1295.875,0.0,False,0
13042,all_to_one_like,1,MSCCLPP-P,mscclpp,P,4,4,512,276.175,920.368,1006.531,81115.6415,885.1525,82000.794,2759.687,1426.4289999999999,0.0,False,0
13042,all_to_one_like,1,MSCCLPP-P,mscclpp,P,5,5,512,260.421,1068.627,1146.828,97305.251,871.4905,98176.7415,2750.469,1415.164,0.0,False,0
13042,all_to_one_like,1,MSCCLPP-P,mscclpp,P,6,6+7,1024,239.225,845.971,922.562,129636.97200000001,1678.5805,131315.5525,9763.859,4914.1875,0.0,False,0
13042,all_to_one_like,2,NCCL-D,nccl,D,0,0,512,2553.14,180.2,297.844,128296.97899999999,144.611,128441.59,364.57,122.238,0.0,False,0
13042,all_to_one_like,2,NCCL-D,nccl,D,1,1,512,2485.202,148.063,326.532,151823.2935,153.0965,151976.39,329.538,66.642,0.0,False,0
13042,all_to_one_like,2,NCCL-D,nccl,D,2,2,512,2521.515,129.091,314.508,177352.137,155.64350000000002,177507.7805,317.482,69.472,0.0,False,0
13042,all_to_one_like,2,NCCL-D,nccl,D,3,3,512,2532.602,131.522,318.888,202947.883,155.858,203103.741,321.894,70.42,0.0,False,0
