config_id,scenario,topk,chunks,pair_index,order,P_e2e_ms,D_e2e_ms,D_minus_P_ms,relative_speedup
balanced_topk1_chunks2,balanced,1,2,0,"D,P",0.8540160059928894,0.8529919981956482,-0.001024007797241211,-0.0012004893356647145
balanced_topk1_chunks2,balanced,1,2,1,"P,D",0.8550400137901306,0.8529919981956482,-0.002048015594482422,-0.002400978671329429
balanced_topk1_chunks2,balanced,1,2,2,"D,P",0.8529919981956482,0.8540160059928894,0.001024007797241211,0.001199049889059968
balanced_topk1_chunks2,balanced,1,2,3,"P,D",0.8529919981956482,0.8550400137901306,0.002048015594482422,0.0023952277805154355
balanced_topk1_chunks2,balanced,1,2,4,"D,P",0.8540160059928894,0.8540160059928894,0.0,0.0
balanced_topk1_chunks2,balanced,1,2,5,"P,D",0.8529919981956482,0.8529919981956482,0.0,0.0
balanced_topk1_chunks2,balanced,1,2,6,"D,P",0.8529919981956482,0.8550400137901306,0.002048015594482422,0.0023952277805154355
balanced_topk1_chunks2,balanced,1,2,7,"P,D",0.8550400137901306,0.8540160059928894,-0.001024007797241211,-0.001199049889059968
balanced_topk1_chunks2,balanced,1,2,8,"D,P",0.8529919981956482,0.8591359853744507,0.00614398717880249,0.0071513558777597476
balanced_topk1_chunks2,balanced,1,2,9,"P,D",0.8550400137901306,0.8540160059928894,-0.001024007797241211,-0.001199049889059968
balanced_topk1_chunks2,balanced,1,2,10,"D,P",0.8540160059928894,0.8540160059928894,0.0,0.0
balanced_topk1_chunks2,balanced,1,2,11,"P,D",0.8550400137901306,0.8529919981956482,-0.002048015594482422,-0.002400978671329429
balanced_topk1_chunks2,balanced,1,2,12,"D,P",0.8540160059928894,0.8529919981956482,-0.001024007797241211,-0.0012004893356647145
balanced_topk1_chunks2,balanced,1,2,13,"P,D",0.8550400137901306,0.8540160059928894,-0.001024007797241211,-0.001199049889059968
balanced_topk1_chunks2,balanced,1,2,14,"D,P",0.8550400137901306,0.8540160059928894,-0.001024007797241211,-0.001199049889059968
balanced_topk1_chunks2,balanced,1,2,15,"P,D",0.8540160059928894,0.8540160059928894,0.0,0.0
balanced_topk1_chunks2,balanced,1,2,16,"D,P",0.8540160059928894,0.8529919981956482,-0.001024007797241211,-0.0012004893356647145
balanced_topk1_chunks2,balanced,1,2,17,"P,D",0.8540160059928894,0.8540160059928894,0.0,0.0
balanced_topk1_chunks2,balanced,1,2,18,"D,P",0.8540160059928894,0.8540160059928894,0.0,0.0
balanced_topk1_chunks2,balanced,1,2,19,"P,D",0.8540160059928894,0.8529919981956482,-0.001024007797241211,-0.0012004893356647145
balanced_topk1_chunks2,balanced,1,2,20,"D,P",0.8529919981956482,0.8529919981956482,0.0,0.0
balanced_topk1_chunks2,balanced,1,2,21,"P,D",0.8540160059928894,0.8529919981956482,-0.001024007797241211,-0.0012004893356647145
balanced_topk1_chunks2,balanced,1,2,22,"D,P",0.8540160059928894,0.8529919981956482,-0.001024007797241211,-0.0012004893356647145
balanced_topk1_chunks2,balanced,1,2,23,"P,D",0.8550400137901306,0.8529919981956482,-0.002048015594482422,-0.002400978671329429
balanced_topk1_chunks2,balanced,1,2,24,"D,P",0.8529919981956482,0.8540160059928894,0.001024007797241211,0.001199049889059968
balanced_topk1_chunks2,balanced,1,2,25,"P,D",0.8550400137901306,0.8540160059928894,-0.001024007797241211,-0.001199049889059968
balanced_topk1_chunks2,balanced,1,2,26,"D,P",0.8540160059928894,0.8529919981956482,-0.001024007797241211,-0.0012004893356647145
balanced_topk1_chunks2,balanced,1,2,27,"P,D",0.8550400137901306,0.8529919981956482,-0.002048015594482422,-0.002400978671329429
balanced_topk1_chunks2,balanced,1,2,28,"D,P",0.8540160059928894,0.8529919981956482,-0.001024007797241211,-0.0012004893356647145
balanced_topk1_chunks2,balanced,1,2,29,"P,D",0.8540160059928894,0.8550400137901306,0.001024007797241211,0.0011976138902577177
balanced_topk1_chunks2,balanced,1,2,30,"D,P",0.8540160059928894,0.8540160059928894,0.0,0.0
