seed,family,job,rank,mode,descriptor_index,trigger,chunk_ids,tokens,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,reveal_to_commit_us,packing_delay_us,post_pack_enqueue_delay_us,gpu_queue_delay_us,gpu_queue_clock_map_raw_us,adapter_issue_host_ns,adapter_issue_before_final_router,ready_to_gpu_start_us,bridge_publish_delay_us,state_binder_guard_us,frozen_cpu_packing_us,digest_bookkeeping_us,adapter_cpu_byte_pack_us,native_wrapper_to_launch_return_us,kernel_launch_api_us,put_kernel_duration_us,queue_previous_put_us,queue_future_router_us,queue_staging_us,queue_other_idle_us,native_put_issue_before_final_router,put_gpu_start_after_final_router,router_put_gpu_overlap,wrong_event_dependency,future_pack_dependency,event_reuse_hazard,put_blocked_by_previous_wait,put_blocked_by_previous_put,put_blocked_by_unresolved_event,pack_event_id,pack_event_producer_stream,comm_stream,comm_stream_sequence_number,preceding_operation,dependency_resolved_sync
13042,balanced,0,0,router_absent,3,3,3,512,10813314731376903,10813314731493130,10813314732764232,10813314732762436,10813314736378540,10813314736573115,10813314736657913,10813314749389334,10813314736738316,10813314749438041,10813314750777443,10813314750773683,10813314750782873,10813314750876276,10813314750882470,10813314750889384,10813314750889450,10813314751802856,N/A,10813314829581794,10813314829586903,10813314790272838,16625.102,1388.109,111.941,0.066,0.066,10813314748762069,True,18125.218,-1.796,3895.477,837.096,11142.722,575.982,13.108,6.914,913.406,0.0,0.0,0.0,0.066,True,False,True,0,0,0,0,0,0,139860574633248,0,158579856,4,previous_put_or_self_copy,False
13042,balanced,0,0,router_absent,4,4,4,512,10813314750928448,10813314751033772,10813314751834186,10813314751832178,10813314755416532,10813314755555933,10813314755659915,10813314768449006,10813314755729830,10813314768495704,10813314769829979,10813314769827888,10813314769836946,10813314769930284,10813314769936639,10813314769943259,10813314769942997,10813314771140075,N/A,10813314829588950,10813314829594075,10813314790272838,16614.82,1380.973,113.28,0.0,-0.262,10813314767788331,True,18108.811,-2.008,3827.737,839.35,11172.622,608.017,12.975,6.62,1197.078,0.0,0.0,0.0,0.0,True,False,True,0,0,0,0,0,0,139860177158672,0,158579856,5,previous_put_or_self_copy,False
13042,balanced,0,0,router_absent,5,5,5,512,10813314769983645,10813314770080006,10813314771173610,10813314771171714,10813314774837734,10813314774984420,10813314775088878,10813314787861502,10813314775155301,10813314787906654,10813314789257316,10813314789252699,10813314789260759,10813314789349354,10813314789354525,10813314789360234,10813314789362153,10813314790169059,N/A,10813314829596122,10813314829601247,10813314790272838,16687.892,1395.814,102.918,1.919,1.919,10813314787206562,True,18188.543,-1.896,3917.164,835.104,11163.621,603.97,10.88,5.709,806.906,0.0,0.0,0.0,1.919,True,False,True,0,0,0,0,0,0,139860177159792,0,158579856,6,previous_put_or_self_copy,False
13042,balanced,0,0,router_absent,6,7,6+7,1024,10813314789771728,10813314790210156,10813314790272838,10813314790270460,10813314797330964,10813314797626900,10813314797730794,10813314823803402,10813314797805554,10813314823861335,10813314826214500,10813314826210221,10813314826221554,10813314826324976,10813314826332964,10813314826341387,10813314826339809,10813314829555169,N/A,10813314829603295,10813314830405091,10813314790272838,33530.564,2411.098,126.887,0.0,-1.578,10813314822442305,False,36066.971,-2.378,7460.334,1640.729,22947.692,1305.024,16.411,8.423,3215.36,0.0,0.0,0.0,0.0,False,True,False,0,0,0,0,0,0,139860572962896,0,158579856,7,previous_put_or_self_copy,False
13042,balanced,0,0,dependency_resolved,0,0,0,512,10813315475961024,10813315476146316,10813315476563372,10813315476628442,10813315480850643,10813315480931138,10813315481035952,10813315494088430,10813315481128300,10813315494129701,10813315495521318,10813315495519812,10813315495534649,10813315495622654,10813315495628599,10813315495634816,10813315495636008,10813315496656930,N/A,10813315626293282,10813315626298391,10813315481287692,17525.058,1432.888,113.498,1.192,1.192,10813315493389056,False,19072.636,65.07,4407.51,842.596,11367.2,643.068,12.162,6.217,1020.922,0.0,0.0,0.0,1.192,False,True,False,0,0,0,0,0,0,139860175376960,0,158579856,1,origin_event,True
13042,balanced,0,0,dependency_resolved,1,1,1,512,10813315476625533,10813315478875532,10813315479132588,10813315479165643,10813315499417341,10813315499507709,10813315499590997,10813315512359538,10813315499659921,10813315512400934,10813315513779237,10813315513776143,10813315513790085,10813315513880630,10813315513886849,10813315513893266,10813315513893922,10813315514571813,N/A,10813315626300454,10813315626305563,10813315481287692,33226.95,1419.699,114.029,0.656,0.656,10813315511690067,False,34761.334,33.055,20425.354,836.636,11146.092,618.562,12.636,6.417,677.891,0.0,0.0,0.0,0.656,False,True,False,0,0,0,0,0,0,139860175378080,0,158579856,2,previous_put_or_self_copy,True
13042,balanced,0,0,dependency_resolved,2,2,2,512,10813315479165399,10813315479225708,10813315479413228,10813315479443315,10813315517594626,10813315517704962,10813315517798918,10813315530645965,10813315517866288,10813315530688547,10813315532061731,10813315532058407,10813315532070640,10813315532162961,10813315532168731,10813315532174885,10813315532175391,10813315533163563,N/A,10813315626308642,10813315626312735,10813315481287692,51232.737,1415.766,113.154,0.506,0.506,10813315529912601,False,52762.163,30.087,38355.603,828.034,11172.578,598.164,11.924,6.154,988.172,0.0,0.0,0.0,0.506,False,True,False,0,0,0,0,0,0,139860175379200,0,158579856,3,previous_put_or_self_copy,True
13042,balanced,0,0,dependency_resolved,3,3,3,512,10813315479442939,10813315479499340,10813315479677100,10813315479711798,10813315535872408,10813315535996307,10813315536100491,10813315548863487,10813315536168266,10813315548906534,10813315550268457,10813315550264683,10813315550276637,10813315550368592,10813315550374338,10813315550381356,10813315550382125,10813315550938157,N/A,10813315626315813,10813315626320938,10813315481287692,69186.387,1404.97,112.899,0.769,0.769,10813315548201173,False,70705.025,34.698,56388.693,827.682,11160.349,609.984,12.764,7.018,556.032,0.0,0.0,0.0,0.769,False,True,False,0,0,0,0,0,0,139860175380320,0,158579856,4,previous_put_or_self_copy,True
13042,balanced,0,0,dependency_resolved,4,4,4,512,10813315479711830,10813315479792044,10813315480028876,10813315480060716,10813315554104711,10813315554242934,10813315554351633,10813315567100303,10813315554420618,10813315567146020,10813315568508966,10813315568506645,10813315568518901,10813315568612394,10813315568618354,10813315568624661,10813315568625703,10813315569647657,N/A,10813315626322985,10813315626328110,10813315481287692,87071.427,1408.663,115.695,1.042,1.042,10813315566450387,False,88596.827,31.84,74290.917,831.174,11152.547,597.082,12.267,6.307,1021.954,0.0,0.0,0.0,1.042,False,True,False,0,0,0,0,0,0,139860175381440,0,158579856,5,previous_put_or_self_copy,True
13042,balanced,0,0,dependency_resolved,5,5,5,512,10813315480060546,10813315480134828,10813315480320012,10813315480348440,10813315572376916,10813315572523811,10813315572629103,10813315585406464,10813315572696916,10813315585451044,10813315586813989,10813315586810755,10813315586823330,10813315586918853,10813315586924541,10813315586931080,10813315586931750,10813315587818532,N/A,10813315626330157,10813315626335266,10813315481287692,105086.452,1407.525,117.091,0.67,0.67,10813315584747264,False,106611.738,28.428,92280.663,828.337,11176.078,606.672,12.227,6.539,886.782,0.0,0.0,0.0,0.67,False,True,False,0,0,0,0,0,0,139860175382560,0,158579856,6,previous_put_or_self_copy,True
