rank,category,name,start_us,duration_us,end_us,device,stream,grid,block,registers_per_thread,shared_memory,blocks_per_sm,warps_per_sm,estimated_occupancy_percent
0,gpu_memcpy,Memcpy DtoH (Device -> Pinned),3649352604787.99,1.632,3649352604789.622,0,21,,,,,,,
0,kernel,volta_sgemm_32x32_sliced1x4_nn,3649352604953.589,16.64,3649352604970.229,0,21,"[1, 16, 12]","[128, 1, 1]",86,32768,2.4,9.6,15
0,kernel,"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, false, float, float, float, true, false, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",3649352604971.189,2.432,3649352604973.621,0,21,"[1, 32, 1]","[32, 16, 1]",32,0,0.4,6.4,10
0,kernel,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",3649352604985.557,2.368,3649352604987.9253,0,21,"[8, 1, 1]","[128, 1, 1]",16,0,0.1,0.4,1
0,gpu_memcpy,Memcpy DtoD (Device -> Device),3649352605019.477,1.472,3649352605020.949,0,21,,,,,,,
0,kernel,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}, std::array<char*, 3ul> >(int, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}, std::array<char*, 3ul>)",3649352605031.893,1.728,3649352605033.621,0,21,"[2, 1, 1]","[128, 1, 1]",32,0,0.025,0.1,0
0,gpu_memcpy,Memcpy DtoD (Device -> Device),3649352605056.052,1.472,3649352605057.524,0,21,,,,,,,
0,kernel,"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>::result_type*)",3649352605075.444,1.344,3649352605076.788,0,21,"[1, 1, 1]","[64, 1, 1]",16,0,0.0125,0.025,0
0,kernel,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int)#1})",3649352605088.692,2.208,3649352605090.9,0,21,"[8, 1, 1]","[128, 1, 1]",16,0,0.1,0.4,1
0,gpu_memcpy,Memcpy DtoD (Device -> Device),3649352605099.092,1.44,3649352605100.5317,0,21,,,,,,,
0,kernel,"void at::native::radixSortKVInPlace<2, -1, 16, 2, float, long, unsigned int>(at::cuda::detail::TensorInfo<float, unsigned int>, unsigned int, unsigned int, unsigned int, at::cuda::detail::TensorInfo<long, unsigned int>, unsigned int, bool)",3649352605111.732,8.0,3649352605119.732,0,21,"[512, 1, 1]","[16, 1, 1]",44,672,6.4,3.2,5
0,kernel,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int)#1})",3649352605162.58,2.24,3649352605164.8203,0,21,"[2, 1, 1]","[128, 1, 1]",16,0,0.025,0.1,0
0,gpu_memcpy,Memcpy DtoH (Device -> Pinned),3649352605174.484,1.632,3649352605176.1157,0,21,,,,,,,
0,kernel,volta_sgemm_32x32_sliced1x4_nn,3649352605344.115,16.256,3649352605360.371,0,21,"[1, 16, 12]","[128, 1, 1]",86,32768,2.4,9.6,15
0,kernel,"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, false, float, float, float, true, false, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",3649352605361.267,2.432,3649352605363.699,0,21,"[1, 32, 1]","[32, 16, 1]",32,0,0.4,6.4,10
